
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
 ----------------------------------------------------------------------------------------
    0  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  21    0    0
    1  3.629021901461023e-12  7.505751048377368e-09  2.979166031180459e-12  21    5    5
    2  7.505751048377368e-09  1.501150209675474e-07  6.164657920191316e-09  21    5    5
    3  1.501150209675474e-07  3.002300419350948e-06  1.293969127944767e-07  21    5   10
    4  3.002300419350948e-06  6.004600838701896e-05  2.593514282990854e-06  21    5   10
    5  6.004600838701896e-05  2.853823712852094e-04  5.166758334560010e-05  21    5   20
    6  2.853823712852094e-04  2.575255578901065e-04  2.798555766932917e-04  21    5   25
    7  2.575255578901065e-04  4.094541218029253e-04  4.794249606742115e-04  21    5   25
    8  4.094541218029253e-04  4.094541218029253e-04  7.863858593533243e-04  21    5   29
    9  4.094541218029253e-04  6.522910582302937e-04  1.082809153607867e-03  21    5   29
   10  6.522910582302937e-04  5.699097250687579e-04  1.606859000290955e-03  23    5   40
   11  5.699097250687579e-04  1.007836408495680e-03  2.005669608336064e-03  23    5   35
   12  1.007836408495680e-03  1.007836408495680e-03  2.683041089905320e-03  23    5   40
   13  1.007836408495680e-03  8.453991987969423e-04  3.678394954727681e-03  25    5   40
   14  8.453991987969423e-04  1.990429430223850e-03  4.265068071685453e-03  25    5   34
   15  1.990429430223850e-03  1.990429430223850e-03  5.574933877447707e-03  25    5   41
   16  1.990429430223850e-03  3.606540539819520e-03  6.798364735960519e-03  25    5   35
   17  4.980839747684550e-04  4.980839747684550e-04  6.927003506629248e-03  27   15  180
   18  4.980839747684550e-04  4.980839747684550e-04  7.441563625964739e-03  29    5   30
   19  4.980839747684550e-04  1.668131272315291e-03  7.722574952892512e-03  29    5   29
   20  1.668131272315291e-03  3.659992327983156e-03  8.637136102347247e-03  29    5   44
   21  3.659992327983156e-03  7.226886812998415e-03  1.050785838365518e-02  29    5   65
   22  2.276503454413033e-04  2.276503454413033e-04  1.033577924663066e-02  32   20  250
   23  2.276503454413033e-04  4.412327687155846e-04  1.092525285672898e-02  34    5   25
   24  4.412327687155846e-04  1.020418912806168e-03  1.113702402550418e-02  34    5   33
   25  1.020418912806168e-03  1.020418912806168e-03  1.161776132030428e-02  34    5   36
